data,categoria,descricao,valor
2026-06-18,Lazer,Museu exposição,35.00
2026-06-19,Alimentação,Café colonial,65.00
2026-06-20,Moradia,Persianas,320.00
2026-06-21,Alimentação,Italianinho,145.00
2026-06-22,Saúde,Dermatologista,350.00
2026-06-23,Educação,Kindle Unlimited,19.90
2026-06-24,Transporte,Carregador veículo,89.00
2026-06-25,Alimentação,Pastelaria,18.00
2026-06-26,Lazer,Aluguel stand up paddle,60.00
2026-06-27,Moradia,Cortina blackout,150.00
2026-06-28,Alimentação,Empada gourmet,35.00
2026-06-29,Vestuário,Bermuda surfista,129.00
2026-06-30,Educação,Curso produção musical,450.00
